t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
4980.00000000,5039174.77563746,647075.17672188,-4604179.12055325,5170.38030668,-779.89794959,5549.26225703,5020843.28971976,776608.88729562,-4604179.12055325,5188.74690271,-646.51288238,5549.26225703
5040.00000000,5337954.59033948,598876.17921685,-4261225.43305670,4785.25172121,-826.13920440,5878.28588148,5320765.07283316,736118.82619484,-4261225.43305670,4804.93661572,-702.65506428,5878.28588148
5100.00000000,5612979.00462654,548012.01414707,-3899308.09296485,4378.82741867,-868.70390722,6181.14947917,5597007.95372287,692352.82912022,-3899308.09296485,4399.74300832,-755.67023337,6181.14947917
5160.00000000,5863024.08244321,494709.04136397,-3520037.73431092,3952.91610159,-907.40263314,6456.50522186,5848342.57381413,645505.66707766,-3520037.73431092,3974.96930614,-805.32245722,6456.50522186
5220.00000000,6086977.05281237,439204.47409976,-3125102.21694513,3509.41319523,-942.06316193,6703.12769899,6073650.42330373,595785.82312445,-3125102.21694513,3532.50587170,-851.39076946,6703.12769899
5280.00000000,6283841.26197927,381745.32330178,-2716259.11508328,3050.29241234,-972.53124449,6919.91937110,6271928.81884345,543414.56456095,-2716259.11508328,3074.32179182,-893.67015313,6919.91937110
5340.00000000,6452740.60880122,322587.29836426,-2295327.89560680,2577.59696964,-998.67128926,7105.91545425,6442295.36576321,488624.95822884,-2295327.89560680,2602.45611463,-931.97245308,7105.91545425
5400.00000000,6592923.44364432,261993.66914954,-1864181.82092296,2093.43049490,-1020.36696571,7260.28821350,6583991.88497569,431660.83329807,-1864181.82092296,2119.00877522,-966.12721328,7260.28821350
5460.00000000,6703765.91343591,200234.09436306,-1424739.61241991,1599.94766522,-1037.52172194,7382.35064663,6696387.78708672,372775.69615844,-1424739.61241991,1626.13125031,-995.98243545,7382.35064663
5520.00000000,6784774.73798628,137583.42149625,-978956.91161643,1099.34461809,-1050.05921449,7471.55954146,6778982.87869553,312231.60224475,-978956.91161643,1126.01698362,-1021.40525544,7471.55954146
5580.00000000,6835589.40522443,74320.46367782,-528817.57700670,593.84917797,-1057.92364796,7527.51789328,6831409.58839620,250297.98981643,-528817.57700670,620.89162442,-1042.28253454,7527.51789328
5640.00000000,6855983.77557821,10726.75887685,-76324.85533164,85.71094186,-1061.08002342,7549.97667170,6853434.60257390,187250.48088140,-76324.85533164,113.00312272,-1058.52136300,7549.97667170
5700.00000000,6845867.08835908,-52914.68302041,376507.53343300,-422.80873207,-1059.51429412,7538.83592881,6844959.90371609,123369.65460058,376507.53343300,-395.38827468,-1070.04947344,7538.83592881
5760.00000000,6805284.36567275,-116320.63968420,827664.35769731,-929.44678813,-1053.23342798,7494.14524406,6806023.20661807,58939.79863160,827664.35769731,-902.02008296,-1076.81556253,7494.14524406
5820.00000000,6734416.21205809,-179208.93676032,1275137.84260503,-1431.94854437,-1042.26537663,7416.10350358,6736797.79054156,-5752.35603123,1275137.84260503,-1404.63764799,-1078.78951928,7416.10350358
5880.00000000,6633578.01074613,-241299.70362545,1716936.60519679,-1928.07772654,-1026.65895099,7305.05801507,6637591.72807315,-70418.91109059,1716936.60519679,-1901.00418011,-1075.96255902,7305.05801507
5940.00000000,6503218.52011590,-302316.61889019,2151094.51662482,-2415.62642012,-1006.48360404,7161.50296223,6508846.51411461,-134772.08217460,2151094.51662482,-2388.91070855,-1068.34726251,7161.50296223
6000.00000000,6343917.87659333,-361988.14010703,2575679.45197970,-2892.42489620,-981.82912175,6986.07720544,6351135.10110631,-198525.47955828,2575679.45197970,-2866.18591193,-1055.97751998,6986.07720544
6060.00000000,6156385.01288086,-420048.71221064,2988801.88879008,-3356.35126735,-952.80522351,6779.56143869,6165159.34922758,-261395.38267845,2988801.88879008,-3330.70578124,-1038.90838025,6779.56143869
6120.00000000,5941454.50300737,-476239.94931272,3388623.31592951,-3805.34093064,-919.54107384,6542.87471529,5951746.90292135,-323102.00277006,3388623.31592951,-3780.40307233,-1017.21580581,6542.87471529
6180.00000000,5700082.84823885,-530311.78459186,3773364.41550843,-4237.39575569,-882.18470756,6277.07035776,5711847.50764345,-383370.72800499,3773364.41550843,-4213.27650566,-990.99633472,6277.07035776
6240.00000000,5433344.22037853,-582023.58316132,4141312.98133964,-4650.59297692,-840.90237103,5983.33127031,5446528.78322796,-441933.34559193,4141312.98133964,-4627.39967263,-960.36665099,5983.33127031
6300.00000000,5142425.68140000,-631145.21296203,4490831.53873777,-5043.09375038,-795.87778225,5662.96467457,5156971.47267849,-498529.23539886,4490831.53873777,-5020.92960856,-925.46306535,5662.96467457
6360.00000000,4828621.90068732,-677458.06891497,4820364.63174248,-5413.15133717,-747.31131333,5317.39629205,4844464.18752944,-552906.52978595,4820364.63174248,-5392.11499448,-886.44090858,5317.39629205
6420.00000000,4493329.39339181,-720756.04577536,5128445.74533537,-5759.11887684,-695.41909871,4948.16399934,4510397.67316194,-604823.23448746,5128445.74533537,-5739.30395094,-843.47384026,4948.16399934
6480.00000000,4138040.30554660,-760846.45535897,5413703.83184456,-6079.45671649,-640.43207336,4556.91098405,4156258.61959552,-654048.30555432,5413703.83184456,-6060.95138936,-796.75307593,4556.91098405
6540.00000000,3764335.77359675,-797550.88405880,5674869.41249275,-6372.73926254,-582.59494502,4145.37843224,3783623.04529898,-700362.67756479,5674869.41249275,-6355.62588811,-746.48653615,4145.37843224
6600.00000000,3373878.88789701,-830705.98683585,5910780.22693509,-6637.66132513,-522.16510520,3715.39777960,3394149.28346463,-743560.23852720,5910780.22693509,-6622.01606273,-692.89792117,3715.39777960
6660.00000000,2968407.29149167,-860164.21415050,6120386.40564490,-6873.04392649,-459.41148367,3268.88256105,2989570.60195885,-783448.74713632,6120386.40564490,-6858.93640194,-636.22571541,3268.88256105
6720.00000000,2549725.44711388,-885794.46859953,6302755.14212851,-7077.83954782,-394.61335174,2807.81989501,2571687.48979214,-819850.68830133,6302755.14212851,-7065.33254357,-576.72212613,2807.81989501
6780.00000000,2119696.60681858,-907482.68833642,6457074.84417677,-7251.13679093,-328.05907931,2334.26164011,2142359.64443630,-852604.06313790,6457074.84417677,-7240.28596668,-514.65196107,2334.26164011
6840.00000000,1680234.51998641,-925132.35467870,6582658.74567881,-7392.16443433,-260.04485165,1850.31526388,1703497.69564717,-881563.10990882,6582658.74567881,-7383.01807929,-450.29144991,1850.31526388
